,0
email,113
app,55
scam,50
company,35
netflix,32
targeting,29
message,28
facebook,27
targets,22
apple,21
microsoft,19
android,17
cloud,16
office,16
gmail,14
trojan,14
danabot,14
mobile,14
infrastructure,13
fbi,13
government,13
tls,12
dnc,11
banking,11
cotten,11
spoofing,11
roaming,11
target,10
mantis,10
stealth,10
mango,10
darkhydrus,10
design,10
bob,9
ftp,9
officials,9
phishery,9
social,9
folder,9
field,9
spear,9
organization,9
spam,9
iranian,8
ios,8
official,8
ishimaru,8
manager,8
blob,8
managers,8
issue,8
booking,8
card,7
glitch,7
dns,7
easily,7
australian,7
application,7
democratic,7
database,7
bug,7
ullrich,7
unit,7
myob,7
capabilities,7
standard,7
instant,7
irs,7
google,6
apk,6
analysis,6
traditional,6
members,6
azure,6
cup,6
pixm,6
previous,6
rms,6
tickets,6
middle,6
inbox,6
purports,6
installing,6
lab,6
industrial,6
languages,6
certificate,6
though,6
iran,6
api,6
obtain,6
sophisticated,6
tax,6
dialog,6
administration,5
vamshi,5
institute,5
bank,5
practices,5
military,5
offer,5
terms,5
identify,5
mail,5
auto,5
located,5
expect,5
effect,5
avanan,5
side,5
digital,5
shared,5
credit,5
protocol,5
voter,5
trends,5
spokesperson,5
increasing,5
surveillance,5
addition,5
messenger,5
individual,5
configuration,5
ssl,5
template,5
focused,5
given,5
keeper,5
east,5
entered,4
filtering,4
suggests,4
survey,4
states,4
recognize,4
meanwhile,4
trustwave,4
built,4
respond,4
offers,4
money,4
main,4
crafted,4
sure,4
alaska,4
net,4
short,4
millions,4
id,4
scan,4
cryptomining,4
machine,4
netskope,4
video,4
novel,4
record,4
dll,4
library,4
probably,4
signed,4
forms,4
box,4
changes,4
evolved,4
detailed,4
empty,4
entities,4
summer,4
murray,4
uk,4
eren,4
evasion,4
teamviewer,4
approach,4
ftc,4
leading,4
korea,4
detect,4
landewe,4
show,4
professors,4
foreign,4
remotely,4
generation,4
leads,4
valid,4
certificates,4
tag,4
harvest,4
didn,4
better,4
dubbed,4
